date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:24	37059/37059	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Sep%202024%2013:19:39%20GMT	https://www.themetechit.com/portfolio/	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/index.html	(from )
14:10:24	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2019:01:49%20GMT	https://www.themetechit.com/robots.txt		(from )
14:10:25	155845/155845	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Jun%202021%2018:29:16%20GMT	https://www.themetechit.com/portfolio/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/bootstrap.min.css	(from https://www.themetechit.com/portfolio/)
14:10:25	2115/2115	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2010:39:34%20GMT	https://www.themetechit.com/portfolio/assets/css/scrolltop.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/scrolltop.css	(from https://www.themetechit.com/portfolio/)
14:10:26	1897/1897	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2017:40:02%20GMT	https://www.themetechit.com/portfolio/assets/css/slick-slider.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/slick-slider.css	(from https://www.themetechit.com/portfolio/)
14:10:26	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2019:01:51%20GMT	https://www.themetechit.com/portfolio/assets/css/animate.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/animate.css	(from https://www.themetechit.com/portfolio/)
14:10:27	102217/102217	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Aug%202023%2011:27:00%20GMT	https://www.themetechit.com/portfolio/assets/css/all.min.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/all.min.css	(from https://www.themetechit.com/portfolio/)
14:10:27	12795/12795	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Mar%202022%2010:14:30%20GMT	https://www.themetechit.com/portfolio/assets/css/fancybox.min.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/fancybox.min.css	(from https://www.themetechit.com/portfolio/)
14:10:27	26053/26053	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Jul%202018%2018:40:38%20GMT	https://www.themetechit.com/portfolio/assets/css/aos.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/aos.css	(from https://www.themetechit.com/portfolio/)
14:10:28	414/414	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Dec%202023%2004:34:48%20GMT	https://www.themetechit.com/portfolio/assets/images/Favicon/favicon.png	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/images/Favicon/favicon.png	(from https://www.themetechit.com/portfolio/)
14:10:28	22880/22880	---M-Z	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202023%2011:14:52%20GMT	https://www.themetechit.com/portfolio/assets/css/app.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/app.css	(from https://www.themetechit.com/portfolio/)
14:10:29	7111/7111	---M-Z	200	added ('OK')	text/css	date:Sat,%2002%20Dec%202023%2012:17:16%20GMT	https://www.themetechit.com/portfolio/assets/css/responsive.css	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/css/responsive.css	(from https://www.themetechit.com/portfolio/)
14:10:30	161172/161172	---M--	200	added ('OK')	image/webp	date:Thu,%2030%20Nov%202023%2005:31:36%20GMT	https://www.themetechit.com/portfolio/assets/images/hero/Hero-Image-1.webp	C:/My%20Web%20Sites/Portafolio%20-%20Dana/www.themetechit.com/portfolio/assets/images/hero/Hero-Image-1.webp	(from https://www.themetechit.com/portfolio/)
